timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-01-25,2657.4399,2672.3799,2657.3301,2664.7600,2664.7600,3814080000,0.0000,1.0000
2019-01-24,2638.8401,2647.2000,2627.0100,2642.3301,2642.3301,3433250000,0.0000,1.0000
2019-01-23,2643.4800,2653.1899,2612.8601,2638.7000,2638.7000,3335610000,0.0000,1.0000
2019-01-22,2657.8799,2657.8799,2617.2700,2632.8999,2632.8999,3908030000,0.0000,1.0000
2019-01-18,2651.2700,2675.4700,2647.5801,2670.7100,2670.7100,3986730000,0.0000,1.0000
2019-01-17,2609.2800,2645.0601,2606.3601,2635.9600,2635.9600,3772270000,0.0000,1.0000
2019-01-16,2614.7500,2625.7600,2612.6799,2616.1001,2616.1001,3863770000,0.0000,1.0000
2019-01-15,2585.1001,2613.0801,2585.1001,2610.3000,2610.3000,3572330000,0.0000,1.0000
2019-01-14,2580.3101,2589.3201,2570.4099,2582.6101,2582.6101,3664450000,0.0000,1.0000
2019-01-11,2588.1101,2596.2700,2577.3999,2596.2600,2596.2600,3434490000,0.0000,1.0000
2019-01-10,2573.5100,2597.8201,2562.0200,2596.6399,2596.6399,3704500000,0.0000,1.0000
2019-01-09,2580.0000,2595.3201,2568.8899,2584.9600,2584.9600,4052480000,0.0000,1.0000
2019-01-08,2568.1101,2579.8201,2547.5601,2574.4099,2574.4099,4083030000,0.0000,1.0000
2019-01-07,2535.6101,2566.1599,2524.5601,2549.6899,2549.6899,4104710000,0.0000,1.0000
2019-01-04,2474.3301,2538.0701,2474.3301,2531.9399,2531.9399,4213410000,0.0000,1.0000
2019-01-03,2491.9199,2493.1399,2443.9600,2447.8899,2447.8899,3822860000,0.0000,1.0000
2019-01-02,2476.9600,2519.4900,2467.4700,2510.0300,2510.0300,3733160000,0.0000,1.0000
2018-12-31,2498.9399,2509.2400,2482.8201,2506.8501,2506.8501,3442870000,0.0000,1.0000
2018-12-28,2498.7700,2520.2700,2472.8899,2485.7400,2485.7400,3702620000,0.0000,1.0000
2018-12-27,2442.5000,2489.1001,2397.9399,2488.8301,2488.8301,4096610000,0.0000,1.0000
2018-12-26,2363.1201,2467.7600,2346.5801,2467.7000,2467.7000,4233990000,0.0000,1.0000
2018-12-24,2400.5601,2410.3401,2351.1001,2351.1001,2351.1001,2613930000,0.0000,1.0000
2018-12-21,2465.3799,2504.4099,2408.5500,2416.6201,2416.6201,7609010000,0.0000,1.0000
