timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-01-24,2476.9600,2675.4700,2443.9600,2642.3301,2642.3301,60685080000,0.0000
2018-12-31,2790.5000,2800.1799,2346.5801,2506.8501,2506.8501,83519570000,0.0000
2018-11-30,2717.5801,2815.1499,2631.0901,2760.1699,2760.1699,80080110000,0.0000
2018-10-31,2926.2900,2939.8601,2603.5400,2711.7400,2711.7400,91327930000,0.0000
2018-09-28,2896.9600,2940.9099,2864.1201,2913.9800,2913.9800,62492080000,0.0000
2018-08-31,2821.1699,2916.5000,2796.3401,2901.5200,2901.5200,69238220000,0.0000
2018-07-31,2704.9500,2848.0300,2698.9500,2816.2900,2816.2900,64542170000,0.0000
2018-06-29,2718.7000,2791.4700,2691.9900,2718.3701,2718.3701,77439710000,0.0000
2018-05-31,2642.9600,2742.2400,2594.6201,2705.2700,2705.2700,75617280000,0.0000
2018-04-30,2633.4500,2717.4900,2553.8000,2648.0500,2648.0500,69648590000,0.0000
2018-03-29,2715.2200,2801.8999,2585.8899,2640.8701,2640.8701,76369800000,0.0000
2018-02-28,2816.4500,2835.9600,2532.6899,2713.8301,2713.8301,79579410000,0.0000
2018-01-31,2683.7300,2872.8701,2682.3601,2823.8101,2823.8101,76860120000,0.0000
2017-12-29,2645.1001,2694.9700,2605.5200,2673.6101,2673.6101,65251190000,0.0000
2017-11-30,2583.2100,2657.7400,2557.4500,2647.5801,2647.5801,73173260000,0.0000
2017-10-31,2521.2000,2582.9800,2520.3999,2575.2600,2575.2600,70871570000,0.0000
2017-09-29,2474.4199,2519.4399,2446.5500,2519.3601,2519.3601,66337980000,0.0000
2017-08-31,2477.1001,2490.8701,2417.3501,2471.6499,2471.6499,70616030000,0.0000
2017-07-31,2431.3899,2484.0400,2407.7000,2470.3000,2470.3000,63169400000,0.0000
2017-06-30,2415.6499,2453.8201,2405.7000,2423.4099,2423.4099,81002490000,0.0000
2017-05-31,2388.5000,2418.7100,2352.7200,2411.8000,2411.8000,79607170000,0.0000
2017-04-28,2362.3401,2398.1599,2328.9500,2384.2000,2384.2000,65265670000,0.0000
