timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-01-24,23058.6094,24750.2207,22638.4102,24553.2402,24553.2402,5229590000,0.0000
2018-12-31,25779.5703,25980.2109,21712.5293,23327.4609,23327.4609,8101540000,0.0000
2018-11-30,25142.0801,26277.8203,24268.7402,25538.4609,25538.4609,7226940000,0.0000
2018-10-31,26598.3594,26951.8105,24122.2305,25115.7598,25115.7598,8373350000,0.0000
2018-09-28,25916.0703,26769.1602,25754.3203,26458.3105,26458.3105,5262500000,0.0000
2018-08-31,25461.6309,26167.9395,24965.7695,25964.8203,25964.8203,5635410000,0.0000
2018-07-31,24161.5293,25587.2402,24077.5605,25415.1895,25415.1895,5408500000,0.0000
2018-06-29,24542.0898,25402.8301,23997.2109,24271.4102,24271.4102,7411110000,0.0000
2018-05-31,24117.2891,25086.4902,23531.3105,24415.8398,24415.8398,7278020000,0.0000
2018-04-30,24076.5996,24858.9707,23344.5195,24163.1504,24163.1504,8064550000,0.0000
2018-03-29,25024.0391,25449.1504,23509.0605,24103.1094,24103.1094,8873040000,0.0000
2018-02-28,26083.0391,26306.6992,23360.2891,25029.1992,25029.1992,9450250000,0.0000
2018-01-31,24809.3496,26616.7109,24741.6992,26149.3906,26149.3906,9116920000,0.0000
2017-12-29,24305.4004,24876.0703,23921.9004,24719.2207,24719.2207,6589890000,0.0000
2017-11-30,23442.9004,24327.8203,23242.7500,24272.3496,24272.3496,7335640000,0.0000
2017-10-31,22423.4707,23485.2500,22416.0000,23377.2402,23377.2402,7302910000,0.0000
2017-09-29,21981.7695,22419.5098,21709.6309,22405.0898,22405.0898,6342130000,0.0000
2017-08-31,21961.4199,22179.1094,21600.3398,21948.0996,21948.0996,6150060000,0.0000
2017-07-31,21392.3008,21929.8008,21279.3008,21891.1191,21891.1191,5569720000,0.0000
2017-06-30,21030.5508,21535.0293,20994.2207,21349.6309,21349.6309,7214590000,0.0000
2017-05-31,20962.7305,21112.3203,20553.4492,21008.6504,21008.6504,6613570000,0.0000
2017-04-28,20665.1699,21070.9004,20379.5508,20940.5098,20940.5098,5392630000,0.0000
2017-03-31,20957.2891,21169.1094,20412.8008,20663.2207,20663.2207,6941970000,0.0000
2017-02-28,19923.8105,20851.3301,19831.0898,20812.2402,20812.2402,6185580000,0.0000
2017-01-31,19872.8594,20125.5801,19677.9395,19864.0898,19864.0898,6482450000,0.0000
2016-12-30,19149.1992,19987.6309,19138.7891,19762.5996,19762.5996,5952470000,0.0000
2016-11-30,18158.2402,19225.2891,17883.5605,19123.5801,19123.5801,2107770000,0.0000
2016-10-31,18279.5996,18399.9609,17959.9492,18142.4199,18142.4199,1793690000,0.0000
2016-09-30,18396.5703,18551.5391,17992.2109,18308.1504,18308.1504,2101120000,0.0000
2016-08-31,18434.5000,18722.6094,18247.7891,18400.8809,18400.8809,1695750000,0.0000
2016-07-29,17924.2402,18622.0098,17713.4492,18432.2402,18432.2402,1816520000,0.0000
2016-06-30,17754.5508,18016.0000,17063.0801,17929.9902,17929.9902,2350020000,0.0000
2016-05-31,17783.7793,17934.6094,17331.0703,17787.1992,17787.1992,1879010000,0.0000
2016-04-29,17661.7402,18167.6309,17484.2305,17773.6406,17773.6406,2096650000,0.0000
2016-03-31,16545.6699,17790.1094,16545.6699,17685.0898,17685.0898,2407750000,0.0000
2016-02-29,16453.6309,16795.9805,15503.0098,16516.5000,16516.5000,2491810000,0.0000
2016-01-29,17405.4805,17405.4805,15450.5596,16466.3008,16466.3008,2844080000,0.0000
2015-12-31,17719.7207,17901.5801,17116.7305,17425.0293,17425.0293,2521440000,0.0000
2015-11-30,17672.6191,17977.8496,17210.4297,17719.9199,17719.9199,2334610000,0.0000
2015-10-30,16278.6201,17799.9609,16013.6602,17663.5391,17663.5391,2605470000,0.0000
2015-09-30,16528.0293,16933.4297,15942.3701,16284.7002,16284.7002,2724080000,0.0000
2015-08-31,17696.7402,17704.7598,15370.3301,16528.0293,16528.0293,2726340000,0.0000
2015-07-31,17638.1191,18137.1191,17399.1699,17689.8594,17689.8594,2034220000,0.0000
