timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2015-06-30,10.22048021,27.07781596,9.89840242,25.52219479,1.65353825,4.37712241,1.60139146,4.12729788,253570885.45300001,752366069.88399994
2015-05-31,8.88529146,11.82795536,8.56852802,10.20411519,1.43726104,1.91465033,1.38544496,1.65089060,71890039.24940000,119182457.62199999
2015-04-30,10.24194441,10.57767143,8.09506449,8.88529690,1.65627772,1.71903199,1.31068606,1.43726192,50898387.29680000,74586189.63440000
2015-03-31,11.58225387,13.08266616,9.96449045,10.24197031,1.85423162,2.09564748,1.60904258,1.65628191,65926051.81410000,123062760.95800000
2015-02-28,11.67039877,12.62021765,10.41363893,11.59069191,1.87245575,2.02895694,1.67114406,1.85558249,48339888.48720000,88185747.56980000
2015-01-31,16.90213058,16.90213058,6.03442743,11.65191046,2.72880496,2.72880496,0.97631534,1.86948939,200428103.48600000,346483405.33399999
2014-12-31,21.94823626,23.26041099,16.57067882,16.89538440,3.57356855,3.78295077,2.67683923,2.72771580,92958453.00460000,306322163.69400001
2014-11-30,22.97885746,27.20758925,21.26925599,21.94793632,3.75645785,4.43769304,3.47177489,3.57351972,114206914.63000000,428339343.45300001
2014-10-31,27.47919264,27.95134755,21.48350918,22.96667773,4.47404095,4.55100627,3.49891437,3.75446677,151153709.90799999,591829992.05799997
2014-09-30,29.95516417,33.94743363,25.66994728,27.57445572,4.87419808,5.53419242,4.17870424,4.48955126,254119832.97499999,1216666093.16000009
2014-08-31,46.69630142,48.20157939,22.10932176,29.90651671,7.56544367,7.80202088,3.59780333,4.86628234,297966578.13700002,1627995352.30999994
2014-07-31,56.03645338,56.76306698,41.59787650,46.71030480,9.04480454,9.16363238,6.70928839,7.56771241,126346938.28700000,1022114963.99000001
2014-06-30,69.50206553,74.67187128,55.18272906,56.02444166,11.15267324,11.98563867,8.90328997,9.04286574,7119604.82605000,70717818.85780001
2014-05-31,68.76583841,73.39268329,61.04278076,69.55949495,11.02027944,11.79442285,9.81377360,11.16188867,2245491.79286000,24423489.75580000
